route_a,a_route_short_name,a_route_long_name,route_b,b_route_short_name,b_route_long_name,overlap_metric,overlap_value,shared_stops,route_a_stops,route_b_stops
LTFRB_PUJ1288,,Divisoria - Sta. Mesa via R. Magsaysay,LTFRB_PUJ1975,,DIVISORIA - CUBAO via YALE,jaccard,0.8,32,37,35
LTFRB_PUJ1859,,PROJ 4 (YALE) - STOP N SHOP,LTFRB_PUJ1860,,PROJ 4 (YALE) - STOP N SHOP,jaccard,0.8,16,17,19
LTFRB_PUJ1636,,EDSA/Shaw Central - Morong,LTFRB_PUJ2437,,Tanay Pasig (Palengke),jaccard,0.8,100,119,106
LTFRB_PUJ2158,,GUADALUPE IBABAW - AYALA,LTFRB_PUJ2281,,Ayala Guadalupe Ibabaw via JP Rizal,jaccard,0.8,8,10,8
LTFRB_PUJ1908,,MARIKINA - MAMBUGAN,LTFRB_PUJ1909,,MARIKINA - MAMBUGAN,jaccard,0.8,20,22,23
LTFRB_PUJ1996,,CUBAO - QUIAPO,LTFRB_PUJ2106,,ARROCEROS - CUBAO YALE,jaccard,0.8,28,31,32
LTFRB_PUJ2535,,Malinta Hagonoy via Meycauayan,LTFRB_PUJ2559,,Monumento Malolos,jaccard,0.8,76,76,95
LTFRB_PUJ1996,,CUBAO - QUIAPO,LTFRB_PUJ2105,,ARROCEROS - CUBAO YALE,jaccard,0.8,28,31,32
LTFRB_PUJ2092,,AYALA LANDMARK - PUREGOLD,LTFRB_PUJ2338,,Landmark Puregold Loop,jaccard,0.8,12,14,13
LTFRB_PUJ1860,,PROJ 4 (YALE) - STOP N SHOP,LTFRB_PUJ1886,,MURPHY 15TH AVE - STOP N SHOP,jaccard,0.8,16,19,17
LTFRB_PUJ1746,,GUDALUPE-FTI via J.P.RIZAL Ext. C5,LTFRB_PUJ1747,,GUDALUPE-FTI via J.P.RIZAL Ext. C5,jaccard,0.8,36,39,42
LTFRB_PUJ2331,,Karuhatan Sta Cruz via Fuentes,LTFRB_PUJ2529,,Malinta-Rizal Ave via Banal,jaccard,0.8,44,51,48
LTFRB_PUJ1595,,T.M. Kalaw - Balara via Katipunan,LTFRB_PUJ1683,,PHILCOA - RECTO,jaccard,0.8,44,54,45
LTFRB_PUJ1961,,DIVISORIA - STA CRUZ via NICHOLAS,LTFRB_PUJ1963,,DIVISORIA - STA CRUZ,jaccard,0.8,4,5,4
LTFRB_PUJ1067,,Baclaran - MIA/Baltao,LTFRB_PUJ2421,,SM MOA NAIA,jaccard,0.8,12,15,12
LTFRB_PUJ1428,,"Malanday - Pier South via Rizal Ave., P. Burgos",LTFRB_PUJ1671,,PIER-MALANDAY,jaccard,0.8,72,84,78
LTFRB_PUJ2331,,Karuhatan Sta Cruz via Fuentes,LTFRB_PUJ2538,,Malinta Pier via Monumento,jaccard,0.8,48,51,57
LTFRB_PUJ1785,,PASAY ROTUNDA - ALABANG via SKYWAY,LTFRB_PUJ1786,,PASAY ROTUNDA - ALABANG (KANAN) via NICHOLS SERVICE RD,jaccard,0.8,40,41,49
LTFRB_PUJ2298,,Bangkusay Divisoria,LTFRB_PUJ2299,,Bangkusay Divisoria,jaccard,0.8,4,4,5
LTFRB_PUJ1236,,Cubao (Arayat) - V. Luna via Ybardolaza,LTFRB_PUJ1237,,Cubao (Arayat) - V. Luna via Ybardolaza,jaccard,0.8,16,19,17
LTFRB_PUJ2325,,Guadalupe Cartimar via Roxas Blvd,LTFRB_PUJ2326,,Guadalupe Cartimar via Roxas Blvd,jaccard,0.8,16,19,17
LTFRB_PUB1082,,Malanday Sucat via EDSA,LTFRB_PUB1093,,"Alabang - Malanday via EDSA, McArthur",jaccard,0.7986577181208053,119,125,143
LTFRB_PUJ1044,,Antipolo - Cubao via Marcos Highway,LTFRB_PUJ2114,,ANTIPOLO - CUBAO via IMELDA AVE,jaccard,0.7981651376146789,87,105,91
LTFRB_PUJ2532,,Malinta Hagonoy via MacArthur Highway,LTFRB_PUJ2560,,Monumento Malolos,jaccard,0.7978723404255319,75,75,94
LTFRB_PUJ1050,,Antipolo - JRC Ortigas/Shaw,LTFRB_PUJ2111,,ANTIPOLO - JRU ROSARIO,jaccard,0.7978723404255319,75,79,90
LTFRB_PUJ1680,,PIER SOUTH-FAIRVIEW DAHLIA-PHILCOA,LTFRB_PUJ2323,,Fairview Wet Market TM Kalaw,jaccard,0.7978723404255319,75,93,76
LTFRB_PUB1019,,Ayala Monumento via EDSA,LTFRB_PUB1077,,FTI-Monumento via EDSA,jaccard,0.7976190476190477,67,68,83
LTFRB_PUJ1627,,Prenza (Marilao) - Monumento via McArthur Hi-way,LTFRB_PUJ2554,,Monumento Bocaue,jaccard,0.7976190476190477,67,70,81
LTFRB_PUJ1627,,Prenza (Marilao) - Monumento via McArthur Hi-way,LTFRB_PUJ2553,,Monumento Bocaue,jaccard,0.7976190476190477,67,70,81
LTFRB_PUJ1561,,Proj. 8 - T.M. Kalaw via Quezon Ave.,LTFRB_PUJ1610,,proj. 8 - Quiapo,jaccard,0.7972972972972973,59,70,63
LTFRB_PUJ1721,,"MCU-PASAY RTDA, MABINI",LTFRB_PUJ2077,,BACLARAN - MCU via MABINI,jaccard,0.7971014492753623,55,65,59
LTFRB_PUJ1053,,Anonas/Aurora - Lagro via Don Mariano Marcos Ave.,LTFRB_PUJ2233,,Lagro V Luna Anonas,jaccard,0.7971014492753623,55,67,57
LTFRB_PUB1031,,Baclaran Malanday via EDSA,LTFRB_PUB1120,,"Baclaran-Malanday via Edsa, McArthur",jaccard,0.796875,102,111,119
LTFRB_PUB1074,,Ayala Malanday via EDSA,LTFRB_PUB1080,,Malanday MIA via Pasay Rtda MOA Coastal Road,jaccard,0.796875,102,102,128
LTFRB_PUJ1340,,Fairview (Dahlia) - Cubao (Arayat),LTFRB_PUJ1777,,CUBAO-ARAYAT-FAIRVIEW,jaccard,0.796875,51,56,59
LTFRB_PUJ2262,,QUIRINO HIGHWAY ZABARTE PANAY AVENUE,LTFRB_PUJ2320,,Ever Gotesco Almar Subd,jaccard,0.796875,51,63,52
LTFRB_PUB1090,,NAIA SM Fairview,LTFRB_PUB1132,,Baclaran - SM Fairview via Lagro C'wealth,jaccard,0.796875,102,113,117
LTFRB_PUJ1110,,Bagumbayan (Taguig) - Pasig (TP) via San Joaquin,LTFRB_PUJ2294,,Bagumbayan Palengke (Pasig),jaccard,0.7966101694915254,47,53,53
LTFRB_PUB1024,,Ayala Novaliches via EDSA Buendia,LTFRB_PUB1050,,Novaliches Baclaran via EDSA Mindanao Ave,jaccard,0.7962962962962963,86,86,108
