route_id,route_short_name,route_long_name,circuity_index,actual_time_formatted,shortest_path_time_formatted,start_stop,start_stop_name,end_stop,end_stop_name,actual_time_seconds,shortest_path_time_seconds
LTFRB_PUB1036,,Baclaran Navotas via Ayala,2.074590526781762,02:36:13,01:15:18,LTFRB_285,"Circimferential Road 4, Malabon City",LTFRB_2301,"Roxas Blvd / Redemptorist Road Intersection, Parañaque City, Manila",9373.0,4518.0
LTFRB_PUB1126,,Baclaran-Navotas Terminal via Edsa Ayala,2.0514220705346986,02:30:16,01:13:15,LTFRB_4266,"San Juan De Dios Educational Foundation, Incorporated, Pasay City, Manila",LTFRB_4446,"MMDA Navotos Bus Terminal, Circumferential Road 4, Navotas City, Manila",9016.0,4395.0
LTFRB_PUJ1223,,"Crame - Q-Mart via P. Tuazon, E. Garcia",2.0303030303030303,00:36:51,00:18:09,LTFRB_2128,"Ermin Garcia Ave, Quezon City, Manila",LTFRB_2156,"Road 6, San Juan, Manila",2211.0,1089.0
LTFRB_PUJ2012,,CAMARIN - SM FAIRVIEW MALIGAYA,2.01980198019802,00:27:12,00:13:28,LTFRB_4194,"Robinsons Nova Supermarket, Quirino Highway, Caloocan City, Manila",LTFRB_530,"Camarin Road / Ilang - Ilang Intersection, Caloocan City",1632.0,808.0
LTFRB_PUJ1801,,LIBERTAD - PINAGBARILAN,2.0082644628099175,00:28:21,00:14:07,LTFRB_1750,"P. Villanueva, Lungsod ng Pasay",LTFRB_1952,"Epifanio de los Santos Avenue / Skyway , Lungsod ng Makati, Manila",1701.0,847.0
LTFRB_PUB1035,,Baclaran Navotas via Ayala,1.9954721862871927,02:34:15,01:17:18,LTFRB_2301,"Roxas Blvd / Redemptorist Road Intersection, Parañaque City, Manila",LTFRB_4446,"MMDA Navotos Bus Terminal, Circumferential Road 4, Navotas City, Manila",9255.0,4638.0
LTFRB_PUJ1686,,PASIGPALENGKE-TIPASTAGUIGVI PATEROS,1.9776440240756663,00:38:20,00:19:23,LTFRB_3226,"F.Manalo / L.Labao Intersection, Taguig City, Manila",LTFRB_3246,"Balderama, Pasig City, Manila",2300.0,1163.0
LTFRB_PUJ1687,,PASIGPALENGKE-TIPASTAGUIGVI PATEROS,1.9715302491103204,00:36:56,00:18:44,LTFRB_3246,"Balderama, Pasig City, Manila",LTFRB_3226,"F.Manalo / L.Labao Intersection, Taguig City, Manila",2216.0,1124.0
LTFRB_PUJ2280,,Ayala Guadalupe Ibabaw via JP Rizal,1.9337142857142857,00:28:12,00:14:35,LTFRB_1970,"Makati Ave / Ayala Avenue Intersection, Makati City, Manila",LTFRB_2022,"Dr Jose P. Rizal Ave, Makati City, Manila",1692.0,875.0
LTFRB_PUJ2265,,SM FAIRVIEW LAGRO SUBDIVISION LOOP,1.8888888888888888,00:15:18,00:08:06,LTFRB_797,"Ascencion Avenue / Tatlong Hari Street Intersection, Quezon City",LTFRB_813,"SM Public Transport Terminal, Regalado Highway, Quezon City",918.0,486.0
LTFRB_PUB1087,,Monumento Philcite via Ayala EDSA,1.879889042995839,01:52:57,01:00:05,LTFRB_1155,"Epifanio de los Santos Avenue / 5th Street Intersection , Caloocan City",LTFRB_1712,"Senator Gil Puyat Ave, Lungsod ng Pasay, Manila",6777.0,3605.0
LTFRB_PUJ1346,,Fort Bonifacio (Gate III) - Guadalupe,1.8625128733264675,01:00:17,00:32:22,LTFRB_2953,"Bayani Road, Taguig City, Manila",LTFRB_3131,"Epifanio de los Santos Avenue, Makati City, Manila",3617.0,1942.0
LTFRB_PUB1125,,Baclaran-Navotas Terminal via EDSA,1.8511728760102504,02:36:31,01:24:33,LTFRB_2306,"Roxas Blvd, Parañaque City, Manila",LTFRB_4446,"MMDA Navotos Bus Terminal, Circumferential Road 4, Navotas City, Manila",9391.0,5073.0
LTFRB_PUJ1525,,Pasay Rotonda - Signal Village,1.84944612286002,01:01:13,00:33:06,LTFRB_1742,"Epifanio de los Santos Avenue, Lungsod ng Pasay",LTFRB_2899,"DBP Ave, Taguig City, Manila, Manila",3673.0,1986.0
LTFRB_PUJ2174,,Balintawak Monumento via Balong Bato,1.8430583501006037,00:15:16,00:08:17,LTFRB_1318,"Andreas Bonifacio, Quezon City",LTFRB_1156,"Epifanio de los Santos Avenue / General Rosendo Simon Intersection , Caloocan City",916.0,497.0
LTFRB_PUB1046,,Leveriza Monumento,1.8395573997233747,01:50:50,01:00:15,LTFRB_1155,"Epifanio de los Santos Avenue / 5th Street Intersection , Caloocan City",LTFRB_1713,"Senator Gil Puyat Ave, Lungsod ng Pasay, Manila",6650.0,3615.0
LTFRB_PUJ1775,,CUBAO-B.BAYAN,1.8337200309358082,00:39:31,00:21:33,LTFRB_3878,"Eulogio Rodriguez Jr. Ave, Quezon City, Manila",LTFRB_2174,"General Romulo Ave ,Quezon City, Manila",2371.0,1293.0
LTFRB_PUJ2157,,GUADALUPE IBABAW - AYALA,1.8329694323144106,00:27:59,00:15:16,LTFRB_1992,"Epifanio de los Santos Avenue, Makati City, Manila",LTFRB_1970,"Makati Ave / Ayala Avenue Intersection, Makati City, Manila",1679.0,916.0
LTFRB_PUB1086,,Monumento Philcite via Ayala EDSA,1.8326098752034725,01:52:35,01:01:26,LTFRB_1712,"Senator Gil Puyat Ave, Lungsod ng Pasay, Manila",LTFRB_1155,"Epifanio de los Santos Avenue / 5th Street Intersection , Caloocan City",6755.0,3686.0
LTFRB_PUJ1036,,(Alabang) Pacita Complex - Sucat,1.8278084714548803,00:33:05,00:18:06,LTFRB_2613,"South Luzon Expressway, Muntinlupa City, Manila",LTFRB_2622,"South Luzon Expressway / Montillano St Intersection, Muntinlupa City, Manila",1985.0,1086.0
LTFRB_PUJ1229,,Cubao - Proj. 4 via P. Tuazon,1.819477434679335,00:12:46,00:07:01,LTFRB_2220,"J.P. Rizal Street / C. Aguinaldo Intersection, Quezon City, Manila",LTFRB_2183,"P. Tuazon Blvd / 21st Ave Intersection, Quezon City, Manila",766.0,421.0
LTFRB_PUJ1249,,H. Dela Costa II - SM Fairview via Quirino Highway,1.8167487684729065,00:30:44,00:16:55,LTFRB_777,"Dela Costa Avenue, Calcoocan City",LTFRB_791,"Quirino Highway, Quezon City",1844.0,1015.0
