stop_id,out_degree,stop_name,stop_lat,stop_lon
LTFRB_1900,5,"South Luzon Expressway, Manila",14.5726,121.0
LTFRB_2177,5,"Aurora Blvd, Quezon City, Manila",14.6248,121.057
LTFRB_1903,5,"Gen M Malvar, Manila",14.5758,120.991
LTFRB_1062,5,"Mindanao Avenue, Quezon City",14.6792,121.032
LTFRB_1878,5,Angel Linao / Pedro Gil,14.5782,120.993
LTFRB_2206,5,"Asian College of Science and Technology, Aurora Blvd, Quezon City, Manila",14.6292,121.069
LTFRB_566,5,"Zabarte Road / Quirino Highway Intersection, Caloocan City",14.7316,121.049
LTFRB_2120,5,"Kamias Rd / Maliksi St Intersection, Quezon City, Manila",14.6319,121.05
LTFRB_2108,5,Tomas Morato Ave / Marathon,14.6281,121.034
LTFRB_2119,5,"Kamias Rd / Colonel Salgado Intersection, Quezon City, Manila",14.6311,121.047
LTFRB_1921,5,"A. Arnaiz Ave / Batangas, Manila",14.5503,121.008
LTFRB_837,5,"Commonwealth Avenue, Quezon City",14.7065,121.07
LTFRB_1864,5,"New Panaderos / Castañeda Intersection, Manila",14.5874,121.021
LTFRB_2112,5,"Judge Damien Jimenez, Quezon City, Manila",14.6263,121.039
LTFRB_2111,5,"Judge Damien Jimenez / Kamuning Rd, Quezon City, Manila",14.6286,121.039
LTFRB_4487,5,"Juan Luna Monument, Padre Burgos St / General Luna St, Manila",14.5853,120.979
LTFRB_1846,5,"Internet Cafe, Old Sta. Mesa, Manila",14.6011,121.013
LTFRB_2057,5,"Epifanio de los Santos Avenue, Mandaluyong City, Manila",14.5762,121.05
LTFRB_4435,5,"Monte de Piedad St / Sgt. J. Catolos, Quezon City, Manila",14.6229,121.049
LTFRB_1975,5,"Senator Gil Puyat Ave, Makati City, Manila",14.5619,121.02
LTFRB_515,5,"National Mental Hospital, Barugo, Caloocan City",14.7676,121.044
LTFRB_1983,5,"Senator Gil Puyat Ave, Makati City, Manila",14.5576,121.033
LTFRB_1987,5,"Kalayaan Flyover, Makati City, Manila",14.5568,121.037
LTFRB_1761,5,"Epifanio de los Santos Avenue, Lungsod ng Pasay",14.5382,121.005
LTFRB_2038,5,"Shaw Blvd / Acacia Ln Intersection, Mandaluyong City, Manila",14.5894,121.035
LTFRB_4195,5,"Robinsons Nova Supermarket, Quirino Highway, Caloocan City, Manila",14.7356,121.058
LTFRB_1981,5,"Epifanio de los Santos Avenue / McKinley Rd Intersection, Makati City, Manila",14.5503,121.029
LTFRB_2022,5,"Dr Jose P. Rizal Ave, Makati City, Manila",14.568,121.044
LTFRB_1744,5,"Taft Ave, Lungsod ng Pasay",14.5427,121.0
LTFRB_1735,5,"F.B. Harrison St / Ignacio, Lungsod ng Pasay",14.5395,120.995
LTFRB_495,5,"Sto. Nino Parish, Old Zabarte, Caloocan City",14.7751,121.045
LTFRB_1163,5,"5th Street / 10th Avenue, Caloocan City",14.6514,120.988
LTFRB_2003,5,"Nicanor Garcia / Kalayaan Ave Intersection, Makati City, Manila",14.5667,121.024
LTFRB_4198,5,"Epifanio de los Santos Av, Quezon City, Manila",14.6453,121.037
LTFRB_2037,5,"L. Gonzales / F. Ortigas, Mandaluyong City, Manila",14.587,121.035
LTFRB_1151,5,"Epifanio de los Santos Avenue, Caloocan City",14.6573,120.998
LTFRB_1771,5,"Legarda, Manila",14.5977,120.99
LTFRB_1738,5,"Epifanio de los Santos Avenue, Diosdado Macapagal Blvd, Lungsod ng Pasay",14.5366,120.99
LTFRB_1510,4,"Alfonso Mendoza, Manila",14.6097,120.986
LTFRB_2124,4,"K-H, Quezon City, Manila",14.6297,121.051
LTFRB_3191,4,"Ortigas Ave, Pasig City, Manila",14.5891,121.064
LTFRB_1988,4,"Estrella Flyover, Makati City, Manila",14.5585,121.039
LTFRB_3170,4,"Mayflower, Mandaluyong City, Manila",14.5775,121.053
LTFRB_3062,4,"Carlos P. Garcia Ave, Taguig City, Manila",14.5391,121.057
LTFRB_1922,4,"A. Arnaiz Ave, Makati City",14.5511,121.01
LTFRB_2140,4,"Mayor Ignacio Santos Diaz / N.Domingo Intersection, San Juan, Manila",14.6177,121.045
LTFRB_3190,4,"Elbow Room, Meralco Ave, Pasig City, Manila",14.5871,121.064
LTFRB_2116,4,"Epifanio de los Santos Avenue / East Avenue Intersection, Quezon City, Manila",14.6329,121.045
LTFRB_1508,4,"San Lazaro / Alfonso Mendoza Intersection, Manila",14.6141,120.986
LTFRB_1507,4,"Daptian / Arsenio H. Lacson Ave Intersection, Manila",14.613,120.99
LTFRB_3065,4,"Carlos P. Garcia Ave, Taguig City, Manila",14.5454,121.054
LTFRB_213,4,"Rizal Avenue / Leono Street Intersection, Malabon City",14.6582,120.952
LTFRB_2146,4,"Santolan Rd, San Juan, Manila",14.6062,121.038
LTFRB_199,4,"Don Bastilio Bautista Boulevard / Gov. W. Pascual Avenue, Malabon City",14.6697,120.947
LTFRB_3011,4,"A. Mabini St, Pasig City, Manila",14.5616,121.077
LTFRB_2943,4,"Lawton Ave, Taguig City, Manila",14.5253,121.027
LTFRB_2170,4,"P. Tuazon Blvd / 9th Ave Intersection, Quezon City, Manila",14.6179,121.056
LTFRB_996,4,"Commonwealth Avenue, Quezon City",14.6731,121.08
LTFRB_2167,4,"13th Ave / P. Tuazon Blvd, Quezon City, Manila",14.6192,121.058
LTFRB_1549,4,"Teodora Alonzo / Claro M. Recto Ave Intersection, Manila",14.6044,120.979
LTFRB_78,4,"Malinta Elementary School, MacArthur Highway, Malinta, Valenzuela City",14.6925,120.965
LTFRB_2995,4,"J.P. Rizal Extension / Lanzones Intersection, Pateros, Manila",14.5461,121.065
LTFRB_2163,4,"15th Ave / Col. Bonny Serrano Intersection, Quezon City, Manila",14.6127,121.063
LTFRB_1995,4,"A. Reyes Ave / J.P. Rizal Ave Intersection, Makati City, Manila",14.5719,121.016
LTFRB_2160,4,"Col. Bonny Serrano, Quezon City, Manila",14.6109,121.055
LTFRB_2144,4,"Fountain International School, Santolan Rd, San Juan, Manila",14.6049,121.033
LTFRB_216,4,"San Iidefonso, M. Naval, City of Navotas",14.655,120.949
LTFRB_3014,4,"A. Mabini St, Pasig City, Manila",14.5648,121.076
