stop_id,total_degree,stop_name,stop_lat,stop_lon
LTFRB_732,10,"The Church of Jesus Christ of Latter Day Saints, Sarmiento, Quezon City",14.7197,121.041
LTFRB_2085,10,"Eulogio Rodriguez Sr. Ave, Quezon City, Manila",14.6235,121.045
LTFRB_1802,10,"Arsenio H. Lacson Ave / J. Fajardo Intersection, Manila",14.6076,120.995
LTFRB_4496,10,"Dumulay  / Quirino Highway, Quezon City, Manila",14.723,121.042
LTFRB_2896,10,"E Service Rd, Parañaque City, Manila",14.5041,121.037
LTFRB_3532,10,"Ortigas Avenue Extension, Antipolo City, Manila",14.5867,121.161
LTFRB_784,10,"Quirino Highway, Calcoocan City",14.7427,121.078
LTFRB_1721,10,"Leveriza, Lungsod ng Pasay",14.5524,120.995
LTFRB_282,10,"Circimferential Road 4 / Gen. P. Borromro, Malabon City",14.6553,120.957
LTFRB_2003,9,"Nicanor Garcia / Kalayaan Ave Intersection, Makati City, Manila",14.5667,121.024
LTFRB_1230,9,"Congressional Avenue, Quezon City",14.6645,121.025
LTFRB_1987,9,"Kalayaan Flyover, Makati City, Manila",14.5568,121.037
LTFRB_1231,9,"Congressional Avenue, Quezon City",14.6677,121.034
LTFRB_1586,9,"Ricafort, Manila",14.6096,120.969
LTFRB_1540,9,"Rizal Avenue, Manila",14.6101,120.982
LTFRB_1234,9,Congressional Avenue / Abra Intersection Quezon City,14.6588,121.02
LTFRB_1260,9,"Epifanio de los Santos Avenue, Quezon City",14.6522,121.032
LTFRB_1237,9,"Epifanio de los Santos Avenue, Quezon City",14.6575,121.017
LTFRB_4198,9,"Epifanio de los Santos Av, Quezon City, Manila",14.6453,121.037
LTFRB_4195,9,"Robinsons Nova Supermarket, Quirino Highway, Caloocan City, Manila",14.7356,121.058
LTFRB_2034,9,"Boni Ave / Primo Cruz Intersection, Mandaluyong City, Manila",14.5813,121.029
LTFRB_1549,9,"Teodora Alonzo / Claro M. Recto Ave Intersection, Manila",14.6044,120.979
LTFRB_1245,9,"Dangay, Quezon City",14.6568,121.019
LTFRB_618,9,"Our Lady Mercy Church, Quirino Highway, Caloocan City",14.7221,121.042
LTFRB_3131,9,"Epifanio de los Santos Avenue, Makati City, Manila",14.5669,121.046
LTFRB_1414,9,"Andres Bonifacio / Ferdinand Blumentritt Intersection, Quezon City",14.626,120.99
LTFRB_76,9,"Parish Church or Isidro Labarador, MacArthur Highway, Malinta, Valenzuela City",14.6956,120.964
LTFRB_1469,9,"Oroquieta / Batangas Intersection, Manila",14.6206,120.984
LTFRB_4301,9,"National Highway / Unnamed Rd, San Pedro, Manila",14.3483,121.065
LTFRB_1696,9,"Taft Avenue, Manila",14.5651,120.994
LTFRB_631,9,"Genteral Luis, Caloocan City",14.7196,121.014
LTFRB_1459,9,"Jose Abad Santos Avenue / Tayuman Road, Quezon City",14.6168,120.977
LTFRB_634,9,"Bagbaguin Family Hospital, Genteral Luis, Caloocan City",14.7191,121.006
LTFRB_4487,9,"Juan Luna Monument, Padre Burgos St / General Luna St, Manila",14.5853,120.979
LTFRB_1782,9,"Quezon Blvd, Manila",14.5994,120.984
LTFRB_4508,9,"Rizal Ave / 8th Ave West, Caloocan City, Manila",14.6488,120.984
LTFRB_1430,9,"Light Rail Transit Line / Bulacan Intersection, Quezon City",14.6268,120.983
LTFRB_1773,9,"P. Casal, Manila",14.5933,120.988
LTFRB_1732,9,Antonio Arnaiz Ave / F.B. Harrison St Intersection,14.5462,120.994
LTFRB_4341,9,"Balintawak Bus Terminal, Epifanio de los Santos Ave, Quezon City, Manila",14.6574,121.002
LTFRB_1402,9,"Quezon Avenue (North Triangle), Quezon City",14.6489,121.045
LTFRB_4343,9,"5th Ave West / A Del Mundo St, Caloocan City, Manila",14.6446,120.982
LTFRB_3153,9,"Dr Jose P. Rizal Extension / 10th Ave Intersection, Makati City, Manila",14.5552,121.065
LTFRB_1750,9,"P. Villanueva, Lungsod ng Pasay",14.5473,120.998
LTFRB_3527,9,"Ortigas Avenue Extension, Antipolo City, Manila",14.5875,121.168
LTFRB_1830,9,"Ramon Magsaysay Blvd, Manila",14.6027,121.015
LTFRB_1477,9,"Dimaslang, Manila",14.6176,120.989
LTFRB_1975,9,"Senator Gil Puyat Ave, Makati City, Manila",14.5619,121.02
LTFRB_148,9,"Simbahanng Church, Osmena Street, Obando",14.7098,120.937
LTFRB_4406,9,"Bonifacio Dr, Manila",14.5912,120.971
LTFRB_1971,9,"Paseo de Roxas / Ayala Avenue Intersection, Makati City, Manila",14.5568,121.021
LTFRB_791,9,"Quirino Highway, Quezon City",14.7353,121.062
LTFRB_625,9,"Genteral Luis / East Street Intersection, Caloocan City",14.7211,121.03
LTFRB_1921,9,"A. Arnaiz Ave / Batangas, Manila",14.5503,121.008
LTFRB_3199,9,"Ortigas Ave, Pasig City, Manila",14.5895,121.076
LTFRB_1646,9,"Taft Ave, Manila",14.588,120.982
LTFRB_3192,9,"E.Abello / Ortigas Ave Intersection, Pasig City, Manila",14.5904,121.062
LTFRB_808,9,"Regalado Highway / Sforza Intersection, Quezon City",14.7245,121.061
LTFRB_566,9,"Zabarte Road / Quirino Highway Intersection, Caloocan City",14.7316,121.049
LTFRB_1744,9,"Taft Ave, Lungsod ng Pasay",14.5427,121.0
LTFRB_3184,9,"Meralco Avenue Flyover / Doña Julia Vargas Ave Intersection, Pasig City, Manila",14.5844,121.064
LTFRB_571,9,"Robinsons Nova Market, Quirino Highway, Caloocan City",14.735,121.057
LTFRB_3182,9,"San Miguel Ave, Pasig City, Manila",14.5817,121.06
LTFRB_1655,9,"Taft Ave / Josefa Llanes Escoda Intersection, Manila",14.5773,120.988
LTFRB_3173,9,"Shaw Blvd, Pasig City, Manila",14.5737,121.062
LTFRB_986,9,"Commonwealth Avenue, Quezon City",14.689,121.087
LTFRB_1862,9,"Daang Bakal / New Panaderos Extension Intersection, Manila",14.5921,121.026
LTFRB_4435,9,"Monte de Piedad St / Sgt. J. Catolos, Quezon City, Manila",14.6229,121.049
LTFRB_2059,9,"Boni Ave near Pulog Intersection, Mandaluyong City, Manila",14.5737,121.045
LTFRB_830,9,"Mindanao Avenue / Belfast Intersection, Quezon City",14.7268,121.058
LTFRB_400,9,"Wet Market, Juan Luma, Manila",14.6081,120.969
LTFRB_2182,9,"P. Tuazon Blvd, Quezon City, Manila",14.6209,121.062
LTFRB_3408,9,"Bonifacio Ave, Cainta, Manila",14.5862,121.115
LTFRB_118,9,"Truo FX Terminal, Governor Fortunato Halili Avenue, Bocaue",14.8073,120.94
LTFRB_2615,9,"South Luzon Expressway / Concepcion St, Muntinlupa City, Manila",14.445,121.045
LTFRB_530,9,"Camarin Road / Ilang - Ilang Intersection, Caloocan City",14.7569,121.054
LTFRB_2178,9,"Aurora Blvd / General Aguinaldo Ave Intersection, Quezon City, Manila",14.6229,121.053
LTFRB_2175,9,"General Romulo Ave / Aurora Blvd Intersection, Quezon City, Manila",14.6239,121.055
LTFRB_2170,9,"P. Tuazon Blvd / 9th Ave Intersection, Quezon City, Manila",14.6179,121.056
LTFRB_285,9,"Circimferential Road 4, Malabon City",14.6525,120.95
LTFRB_2169,9,"15th Ave / P. Tuazon Blvd, Quezon City, Manila",14.62,121.06
LTFRB_2405,9,"Quirino Ave, Parañaque City, Manila",14.4919,120.988
LTFRB_3794,9,"Sumulong Hwy, Marikina City, Manila",14.6351,121.102
LTFRB_3689,9,"Marcos Hwy / Gunting St Intersection, Antipolo City, Manila",14.6208,121.102
LTFRB_3690,9,"Marcos Hwy, Antipolo City, Manila",14.6203,121.1
LTFRB_2858,9,"National Hwy, San Pedro, Manila",14.3656,121.052
LTFRB_2321,9,"F.B. Harrison Street / Taft Avenue Extension Intersection, Lungsod ng Pasay, Manila",14.5323,120.997
LTFRB_3692,9,"Marcos Hwy / Amang Rodriguez Ave Intersection, Pasig City, Manila",14.6188,121.093
LTFRB_2943,9,"Lawton Ave, Taguig City, Manila",14.5253,121.027
LTFRB_2911,9,"South Luzon Expressway, Makati City, Manila",14.5328,121.021
LTFRB_1001,9,"Loyola Memorial Chapel, Commonwealth Avenue, Quezon City",14.6658,121.071
LTFRB_2711,9,"Starmall Footbridge, Starmall Starmall Service Rd, Muntinlupa City, Manila",14.417,121.045
LTFRB_1129,9,"North Luzon Expressway, Valenzuela City",14.682,121.001
LTFRB_2255,9,"V. Luna Ave, Quezon City, Manila",14.6371,121.05
