origin,origin_stop_name,destination,dest_stop_name,travel_time_formatted,num_transfers,path_length_stops,travel_time_seconds
LTFRB_1652,"Taft Ave / T.M. Kalaw Intersection, Manila",LTFRB_2359,"NAIA Rd / Imelda Ave Intersection, Parañaque City, Manila",00:42:58,8,30,2578.0
LTFRB_1952,"Epifanio de los Santos Avenue / Skyway , Lungsod ng Makati, Manila",LTFRB_4365,"Katipunan Ave, Quezon City, Manila",01:11:56,9,48,4316.0
LTFRB_2183,"P. Tuazon Blvd / 21st Ave Intersection, Quezon City, Manila",LTFRB_3749,"J. P. Rizal St, Marikina City, Manila",00:27:10,4,22,1630.0
LTFRB_3603,"Sumulong Hwy, Antipolo City, Manila",LTFRB_418,"Joel Vulcanizing Shop, Quirino Highway, City of San Jose del Monte",02:53:28,8,116,10408.0
LTFRB_150,"Joaquin, Obando",LTFRB_245,"M. D. Del Pilar / Angela Intersection, Malabon City",00:28:00,3,19,1680.0
LTFRB_1815,"G Tuazon / Bataan Intersection, Manila",LTFRB_4449,"Victoriano Luna Ave, Quezon City, Manila",00:43:25,6,32,2605.0
LTFRB_1564,"Antonio Rivera, Manila",LTFRB_1941,"Gen. Mascardo / Evangelista Intersection, Makati City",00:48:36,6,36,2916.0
LTFRB_2194,"Columbia / Albany Intersection, Quezon City, Manila",LTFRB_567,"Kingfisher / Quirino Highway Intersection, Caloocan City",01:10:06,10,52,4206.0
LTFRB_2809,"C Arellano St / G Araneta St Intersection, Muntinlupa City, Manila",LTFRB_3542,"Fibertex Corporation, Ortigas Avenue Extension, Tatay, Manila",02:48:50,10,141,10130.0
LTFRB_1802,"Arsenio H. Lacson Ave / J. Fajardo Intersection, Manila",LTFRB_4994,Paco PNR,Infinite,-1,0,inf
LTFRB_2287,"BIR Rd, Quezon City, Manila",LTFRB_2627,"Manuel L. Quezon, Muntinlupa City, Manila",02:06:03,9,98,7563.0
LTFRB_3663,"Marcos Hwy, Antipolo City, Manila",LTFRB_516,"Old Zabarte, Caloocan City",02:04:25,10,82,7465.0
LTFRB_3540,"Ortigas Avenue Extension, Antipolo City, Manila",LTFRB_495,"Sto. Nino Parish, Old Zabarte, Caloocan City",02:32:18,9,111,9138.0
LTFRB_1694,"Taft Avenue / Pablo Ocampo Sreet, Avenue, Manila",LTFRB_2865,"National Hwy, Muntinlupa City, Manila",01:48:41,10,52,6521.0
LTFRB_193,"N Naval, Malabon City",LTFRB_4390,"St Francis Ave / 1st, Caloocan City, Manila",01:52:28,8,91,6748.0
LTFRB_1364,"Quezon Avenue, Quezon City",LTFRB_2386,"Dr A. Santos Ave, Parañaque City, Manila",01:47:42,11,62,6462.0
LTFRB_1873,"Pedro Gil / Fabie Intersection, Manila",LTFRB_3951,"Norzagaray-Santa Maria Rd, Santa Maria, Manila",03:15:40,11,160,11740.0
LTFRB_1647,"Justice Cecilia Munoz-Palma, Manila",LTFRB_2036,"F. Ortigas, Mandaluyong City, Manila",00:38:04,7,19,2284.0
LTFRB_2576,"Molino-Paliparan Rd, Lungsod ng Dasmariñas, Manila",LTFRB_3968,"Chapel of the Nativity, Santa Maria, Manila",05:05:34,14,216,18334.0
LTFRB_3013,"A. Mabini St / Blumentritt St, Pasig City, Manila",LTFRB_4767,"Damong Maliit Road, Caloocan City",01:53:23,15,86,6803.0
LTFRB_2291,"Diosdado Macapagal Blvd, Lungsod ng Pasay, Manila",LTFRB_4063,"Dr Eduardo V. Roquero Sr. Av, City of San Jose del Monte, Manila",03:50:01,18,155,13801.0
LTFRB_1144,"Malolos Avenue / Milagrosa Intersection, Caloocan City",LTFRB_893,"Mayon Avenue, Rodriguez",01:57:21,6,101,7041.0
LTFRB_1477,"Dimaslang, Manila",LTFRB_846,"Manila Gravel Pit Road / Makisig Intersection, Quezon City",01:23:13,10,59,4993.0
LTFRB_1604,Camba / San Nicolas,LTFRB_642,"Bagabaguin Road, Caloocan City",01:14:35,9,61,4475.0
LTFRB_1522,"España Blvd / Nicanor Reyes St Intersection, Manila",LTFRB_2910,"South Luzon Expressway, Makati City, Manila",00:50:39,6,15,3039.0
LTFRB_134,"A. Fernando Elementary School, M H Del Pilar, Malanday, Valenzuela City",LTFRB_2460,"Emilio Aguinaldo Hwy, Silang, Manila",04:39:06,26,183,16746.0
LTFRB_1554,"Jose Abad Santos Ave., Manila",LTFRB_2669,"Alabang-Zapote Road / Rosal Intersection, Las Piñas City, Manila",01:36:37,13,53,5797.0
LTFRB_4061,"Bagong Buhay B Elementary School, City of San Jose del Monte, Manila",LTFRB_614,"Topaz, Caloocan City",01:55:47,6,93,6947.0
LTFRB_1949,"Epifanio de los Santos Avenue, Lungsod ng Makati, Manila",LTFRB_483,"Our Lady of the Star Nursery, St Joseph, City of San Jose del Monte",02:46:33,14,105,9993.0
LTFRB_1096,"Life Value Clinic, Congressional Avenue, Quezon City",LTFRB_2899,"DBP Ave, Taguig City, Manila, Manila",01:55:55,12,75,6955.0
LTFRB_2682,"Marcos Alvarez Ave, Las Piñas City, Manila",LTFRB_4392,"St Francis Ave / Olympic Ave, Caloocan City, Manila",03:44:15,15,152,13455.0
LTFRB_1495,"Blumentritt, Manila",LTFRB_2883,"South Luzon Expressway, Muntinlupa City, Manila",01:46:39,12,40,6399.0
LTFRB_1882,"President Quirino Ave. Ext / Paz St Intersection, Manila",LTFRB_686,"El- Camino, City of Meycauayan",01:55:01,11,92,6901.0
LTFRB_2128,"Ermin Garcia Ave, Quezon City, Manila",LTFRB_4724,"Modesta, Marikina City",00:59:30,11,38,3570.0
LTFRB_3665,"Un-named road near Marcos Hwy, Antipolo City, Manila",LTFRB_367,"4th Avenue, Caloocan City",02:11:04,12,103,7864.0
LTFRB_4097,"San Jose del Monte - Marilao Rd, City of San Jose del Monte, Manila",LTFRB_4678,"Sergio H Loyola, Manila City",02:25:10,12,111,8710.0
LTFRB_2002,"Nicanor Garcia / Ascuncion Intersection, Makati City, Manila",LTFRB_2191,"Ermin Garcia Ave / 15th Ave., Quezon City, Manila",00:54:03,6,42,3243.0
LTFRB_1688,"Remedios / Jorge Bocobo Intersection, Manila",LTFRB_2874,"National Hwy, Muntinlupa City, Manila",01:47:18,11,49,6438.0
EDSA_4,Edsa Bus Carousel - Ortigas,LTFRB_3093,"26th Street / McKinley Pkwy Intersection, Taguig City, Manila",Infinite,-1,0,inf
LTFRB_4000,"Santa Maria San Jose Rd, Santa Maria, Manila",LTFRB_911,"MH del Pilar Street, Rodriguez",03:24:29,10,175,12269.0
LTFRB_3002,"A. Luna St, Pasig City, Manila",LTFRB_4987,Santolan LRT,Infinite,-1,0,inf
LTFRB_1767,"Park Ave, Lungsod ng Pasay",LTFRB_743,"Joshua / Amos Intersection, Quezon City",02:17:35,15,96,8255.0
LTFRB_372,"St Joseph School, Juan Luma / Pampanga, Manila",LTFRB_874,"Payatas Road, Quezon City",01:59:00,16,92,7140.0
LTFRB_1794,"Ramon Magsaysay Blvd, Manila",LTFRB_543,"Zapote Street / Ilang-Ilang Intersection, Caloocan City",01:36:36,17,69,5796.0
LTFRB_3599,"Sumulong Hwy, Antipolo City, Manila",LTFRB_548,"Hospital, 121.05684",01:53:41,8,75,6821.0
LTFRB_2234,"F. Castillo / A. Luna, Quezon City, Manila",LTFRB_3589,"Sumulong Hwy, Antipolo City, Manila",01:08:48,5,47,4128.0
EDSA_17,EDSA Carousel Bus Stop - SM Mall Of Asia,LTFRB_2468,"Manila-Cavite Expy, Bacoor City, Manila",Infinite,-1,0,inf
LTFRB_2269,"Magsaysay Ave / Roces St Intersection, Quezon City, Manila",LTFRB_3951,"Norzagaray-Santa Maria Rd, Santa Maria, Manila",03:04:56,9,153,11096.0
LTFRB_2069,"P.Oliveros, Mandaluyong City, Manila",LTFRB_3763,"A. Bonifacio Ave, Marikina City, Manila",01:18:29,10,55,4709.0
LTFRB_3975,"Santa Maria San Jose Rd, Santa Maria, Manila",LTFRB_978,"J.P Rizal / Gen. Villamor Intersection, Quezon City",03:06:46,14,131,11206.0
LTFRB_3482,"Quezon Ave, Teresa, Manila",LTFRB_4755,"Malanting, Quezon City",03:14:21,13,159,11661.0
LTFRB_3201,"Ortigas Ave, Pasig City, Manila",LTFRB_4379,"Congressional Road Extension / Road 7, Quezon City, Manila",01:48:33,13,90,6513.0
LTFRB_1347,"Banawe Avenue, Quezon City",LTFRB_2174,"General Romulo Ave ,Quezon City, Manila",00:45:09,8,38,2709.0
LTFRB_1050,"Quirino Highway / Rockville Avenue Intersection, Quezon City",LTFRB_454,"Gumaok Main Road / Quirino Highway Intersection, City of San Jose del Monte",01:13:31,7,43,4411.0
LTFRB_3368,"E Bank Rd, Pasig City, Manila",LTFRB_4275,"PNR San Andres Station, South Luzon Expressway, Makati City, Manila",01:05:01,11,39,3901.0
LTFRB_3370,"E Bank Rd / SE Approach Intersection, Pasig City, Manila",LTFRB_566,"Zabarte Road / Quirino Highway Intersection, Caloocan City",01:46:49,15,82,6409.0
LTFRB_1483,"Nicanor Roxas / Blumentritt  Intersection, Manila",LTFRB_1515,"J. Barlin / P. Noval Intersection, Manila",00:13:06,1,12,786.0
LTFRB_1247,"Dangay / Bansalangin Intersection, Quezon City",LTFRB_2065,"Boni Ave / Sto Rosario Intersection, Mandaluyong City, Manila",01:02:23,10,58,3743.0
LTFRB_1768,"Senator Gil Puyat Ave, Lungsod ng Pasay, Manila",LTFRB_3763,"A. Bonifacio Ave, Marikina City, Manila",01:29:21,14,61,5361.0
LTFRB_1626,"Magallanes Dr, Manila",LTFRB_3738,"J. P. Rizal St / Japan Avenue Intersection, Marikina City, Manila",01:41:14,16,76,6074.0
LTFRB_3734,"J. P. Rizal St / BMW Drive Intersection, San Mateo, Manila",LTFRB_4597,"Civic Drive, Montinlupa City",02:40:38,10,125,9638.0
LTFRB_3212,"Capt. Henry P. Javier / St.Martin Intersection, Pasig City, Manila",LTFRB_795,"Lagro Elementary School, Ascencion Avenue, Quezon City",01:52:21,10,77,6741.0
